"";"Version..0...Fixed.Task.";"Task";"Concept";"Att.1...Doppelseitiges.Drucken";"Att.2...Scan.Funktion";"Att.3...Eco.Modus";"Att.4...Kosten.pro.Seite..in.cent.";"Att.5...Heft..und.Lochfunktion";"Att.6...Sterne.Bewertung.von.1..schlecht..bis.5..gut.";"Att.7...Preis"
"511";11;6;3;2;2;1;2;2;4;3
"512";11;6;4;1;2;2;2;1;1;1
"513";11;7;1;2;2;2;3;1;2;3
"514";11;7;2;2;2;2;2;2;4;5
"515";11;7;3;1;1;2;3;1;3;1
"516";11;7;4;2;1;1;2;2;4;2
"517";11;8;1;1;2;1;2;2;4;4
"518";11;8;2;1;1;1;3;2;1;1
"519";11;8;3;1;1;2;2;2;3;1
"520";11;8;4;2;2;2;3;2;3;2
"521";11;9;1;1;2;2;1;2;1;3
"522";11;9;2;2;1;2;1;1;4;4
"523";11;9;3;1;1;1;1;2;4;2
"524";11;9;4;2;2;1;2;2;3;4
"525";11;10;1;1;2;2;1;2;1;2
"526";11;10;2;1;1;1;2;1;4;2
"527";11;10;3;2;2;1;3;2;4;2
"528";11;10;4;2;1;1;1;2;3;3
"529";11;11;1;1;2;2;3;1;1;5
"530";11;11;2;2;1;2;2;2;3;2
"531";11;11;3;2;1;1;2;2;2;1
"532";11;11;4;1;1;2;1;1;2;5
"533";11;12;1;1;1;1;1;1;3;4
"534";11;12;2;1;2;1;2;1;1;1
"535";11;12;3;2;1;2;2;2;3;4
"536";11;12;4;1;2;1;1;2;2;4
"537";12;1;1;2;1;1;1;2;1;1
"538";12;1;2;2;2;1;2;1;3;3
"539";12;1;3;2;1;1;1;1;2;2
"540";12;1;4;1;1;2;2;1;4;3
"541";12;2;1;2;1;2;1;1;2;1
"542";12;2;2;1;1;1;3;2;4;1
"543";12;2;3;1;1;1;3;2;1;2
"544";12;2;4;2;2;2;1;2;4;2
"545";12;3;1;1;1;2;2;2;2;5
"546";12;3;2;2;1;2;1;2;1;3
"547";12;3;3;2;2;2;1;2;1;4
"548";12;3;4;1;2;2;2;1;4;3
"549";12;4;1;1;1;1;3;1;1;5
"550";12;4;2;1;1;2;1;2;4;4
"551";12;4;3;1;2;1;2;2;4;3
